customer_key,customer_number,customer_name,age,age_category,total_orders,total_sales,spender_category,last_order_date,recency,total_quantities,total_products,life_span,average_order_value,average_monthly_spend
1,AW00011001,"Eugene Huang",49,40-60,3,6235,"high spender",2013-12-10,147,3,3,147,2078.3333,42.4150
2,AW00011002,"Ruben Torres",55,40-60,3,8079,"high spender",2013-02-23,157,3,3,157,2693.0000,51.4586
3,AW00011003,"Christy Zhu",52,40-60,3,8079,"high spender",2013-05-10,154,3,3,154,2693.0000,52.4610
4,AW00011004,"Elizabeth Johnson",46,40-60,3,8104,"high spender",2013-05-01,154,3,3,154,2701.3333,52.6234
5,AW00011005,"Julio Ruiz",49,40-60,3,8079,"high spender",2013-05-02,154,3,3,154,2693.0000,52.4610
6,AW00011006,"Janet Alvarez",49,40-60,3,8104,"high spender",2013-05-14,154,3,3,154,2701.3333,52.6234
7,AW00011007,"Marco Mehta",56,40-60,3,8079,"high spender",2013-03-19,156,3,3,156,2693.0000,51.7885
8,AW00011008,"Rob Verhoff",50,40-60,3,8054,"high spender",2013-03-02,156,3,3,156,2684.6667,51.6282
9,AW00011009,"Shannon Carlson",56,40-60,3,8054,"high spender",2013-05-09,154,3,3,154,2684.6667,52.2987
10,AW00011010,"Jacquelyn Suarez",56,40-60,3,8079,"high spender",2013-05-23,154,3,3,154,2693.0000,52.4610
11,AW00011011,"Curtis Lu",56,40-60,3,8079,"high spender",2013-03-19,156,3,3,156,2693.0000,51.7885
12,AW00011012,"Lauren Walker",47,40-60,2,39,"low spender",2013-10-15,149,2,2,149,19.5000,0.2617
13,AW00011013,"Ian Jenkins",46,40-60,2,39,"low spender",2014-01-21,146,2,2,146,19.5000,0.2671
14,AW00011014,"Sydney Bennett",52,40-60,2,39,"low spender",2013-04-30,155,2,2,155,19.5000,0.2516
15,AW00011015,"Chloe Young",41,40-60,1,2320,"medium spender",2013-01-18,158,1,1,158,2320.0000,14.6835
16,AW00011016,"Wyatt Hill",41,40-60,1,2295,"medium spender",2013-02-09,157,1,1,157,2295.0000,14.6178
17,AW00011017,"Shannon Wang",76,"Above 60",3,6412,"high spender",2013-10-14,149,3,3,149,2137.3333,43.0336
18,AW00011018,"Clarence Rai",70,"Above 60",3,6462,"high spender",2013-10-24,149,3,3,149,2154.0000,43.3691
19,AW00011019,"Luke Lal",42,40-60,17,523,"low spender",2014-01-12,146,17,15,146,30.7647,3.5822
